fips,state,year,share_20_34
1,Alabama,2000,0.204176
1,Alabama,2001,0.20317
1,Alabama,2002,0.202336
1,Alabama,2003,0.202086
1,Alabama,2004,0.200963
1,Alabama,2005,0.199693
1,Alabama,2006,0.198165
1,Alabama,2007,0.197085
1,Alabama,2008,0.196585
1,Alabama,2009,0.197074
1,Alabama,2010,0.196968
1,Alabama,2011,0.199012
1,Alabama,2012,0.200233
1,Alabama,2013,0.201076
1,Alabama,2014,0.201075
1,Alabama,2015,0.200133
1,Alabama,2016,0.198958
1,Alabama,2017,0.197984
1,Alabama,2018,0.197242
1,Alabama,2019,0.196773
1,Alabama,2020,0.195006
1,Alabama,2021,0.195718
1,Alabama,2022,0.195663
1,Alabama,2023,0.195176
2,Alaska,2000,0.205647
2,Alaska,2001,0.204755
2,Alaska,2002,0.2054
2,Alaska,2003,0.20682
2,Alaska,2004,0.20954
2,Alaska,2005,0.211824
2,Alaska,2006,0.213044
2,Alaska,2007,0.214964
2,Alaska,2008,0.217715
2,Alaska,2009,0.215454
2,Alaska,2010,0.206931
2,Alaska,2011,0.214342
2,Alaska,2012,0.217918
2,Alaska,2013,0.22179
2,Alaska,2014,0.224651
2,Alaska,2015,0.224782
2,Alaska,2016,0.22484
2,Alaska,2017,0.22175
2,Alaska,2018,0.219465
2,Alaska,2019,0.217391
2,Alaska,2020,0.208431
2,Alaska,2021,0.206715
2,Alaska,2022,0.205139
2,Alaska,2023,0.204174
4,Arizona,2000,0.215087
4,Arizona,2001,0.2156
4,Arizona,2002,0.21552
4,Arizona,2003,0.213877
4,Arizona,2004,0.212322
4,Arizona,2005,0.210254
4,Arizona,2006,0.208974
4,Arizona,2007,0.207515
4,Arizona,2008,0.20603
4,Arizona,2009,0.20466
4,Arizona,2010,0.201996
4,Arizona,2011,0.204175
4,Arizona,2012,0.205417
4,Arizona,2013,0.205938
4,Arizona,2014,0.206577
4,Arizona,2015,0.205932
4,Arizona,2016,0.205475
4,Arizona,2017,0.204943
4,Arizona,2018,0.204953
4,Arizona,2019,0.205284
4,Arizona,2020,0.202189
4,Arizona,2021,0.203115
4,Arizona,2022,0.204511
4,Arizona,2023,0.204941
5,Arkansas,2000,0.199589
5,Arkansas,2001,0.200307
5,Arkansas,2002,0.20081
5,Arkansas,2003,0.201109
5,Arkansas,2004,0.200892
5,Arkansas,2005,0.200247
5,Arkansas,2006,0.198886
5,Arkansas,2007,0.197787
5,Arkansas,2008,0.197215
5,Arkansas,2009,0.197274
5,Arkansas,2010,0.196916
5,Arkansas,2011,0.19917
5,Arkansas,2012,0.200348
5,Arkansas,2013,0.200706
5,Arkansas,2014,0.200638
5,Arkansas,2015,0.199848
5,Arkansas,2016,0.199137
5,Arkansas,2017,0.198472
5,Arkansas,2018,0.197835
5,Arkansas,2019,0.197268
5,Arkansas,2020,0.195382
5,Arkansas,2021,0.196276
5,Arkansas,2022,0.196427
5,Arkansas,2023,0.196677
6,California,2000,0.224571
6,California,2001,0.224334
6,California,2002,0.223467
6,California,2003,0.221719
6,California,2004,0.220328
6,California,2005,0.218233
6,California,2006,0.216968
6,California,2007,0.216253
6,California,2008,0.216166
6,California,2009,0.216588
6,California,2010,0.215424
6,California,2011,0.217572
6,California,2012,0.219175
6,California,2013,0.220308
6,California,2014,0.221456
