fips,state,year,real_gdp_pc
1,Alabama,2000,37891
1,Alabama,2001,37704
1,Alabama,2002,38488
1,Alabama,2003,39534
1,Alabama,2004,41917
1,Alabama,2005,43163
1,Alabama,2006,43190
1,Alabama,2007,43234
1,Alabama,2008,42594
1,Alabama,2009,40814
1,Alabama,2010,41679
1,Alabama,2011,41956
1,Alabama,2012,42286
1,Alabama,2013,42835
1,Alabama,2014,42544
1,Alabama,2015,43040
1,Alabama,2016,43738
1,Alabama,2017,44407
1,Alabama,2018,45140
1,Alabama,2019,45899
1,Alabama,2020,44323
1,Alabama,2021,46323
1,Alabama,2022,47271
1,Alabama,2023,48608
2,Alaska,2000,61195
2,Alaska,2001,63143
2,Alaska,2002,65238
2,Alaska,2003,63594
2,Alaska,2004,65040
2,Alaska,2005,66582
2,Alaska,2006,70407
2,Alaska,2007,73683
2,Alaska,2008,72625
2,Alaska,2009,78627
2,Alaska,2010,75145
2,Alaska,2011,74819
2,Alaska,2012,78115
2,Alaska,2013,74059
2,Alaska,2014,72317
2,Alaska,2015,72696
2,Alaska,2016,71998
2,Alaska,2017,72270
2,Alaska,2018,71243
2,Alaska,2019,71398
2,Alaska,2020,69446
2,Alaska,2021,70435
2,Alaska,2022,68881
2,Alaska,2023,73880
4,Arizona,2000,43547
4,Arizona,2001,43782
4,Arizona,2002,44152
4,Arizona,2003,46048
4,Arizona,2004,46881
4,Arizona,2005,48605
4,Arizona,2006,49165
4,Arizona,2007,49713
4,Arizona,2008,48131
4,Arizona,2009,43734
4,Arizona,2010,44051
4,Arizona,2011,44862
4,Arizona,2012,45311
4,Arizona,2013,45045
4,Arizona,2014,44813
4,Arizona,2015,45162
4,Arizona,2016,45935
4,Arizona,2017,47261
4,Arizona,2018,48351
4,Arizona,2019,49312
4,Arizona,2020,51009
4,Arizona,2021,54515
4,Arizona,2022,56179
4,Arizona,2023,57546
5,Arkansas,2000,35657
5,Arkansas,2001,35492
5,Arkansas,2002,36422
5,Arkansas,2003,37782
5,Arkansas,2004,39489
5,Arkansas,2005,40434
5,Arkansas,2006,40716
5,Arkansas,2007,40028
5,Arkansas,2008,39529
5,Arkansas,2009,37915
5,Arkansas,2010,38672
5,Arkansas,2011,39184
5,Arkansas,2012,39492
5,Arkansas,2013,40481
5,Arkansas,2014,40896
5,Arkansas,2015,40786
5,Arkansas,2016,41124
5,Arkansas,2017,41241
5,Arkansas,2018,41954
5,Arkansas,2019,42112
5,Arkansas,2020,42595
5,Arkansas,2021,45447
5,Arkansas,2022,45520
5,Arkansas,2023,46278
6,California,2000,52499
6,California,2001,51757
6,California,2002,52234
6,California,2003,53762
6,California,2004,55004
6,California,2005,56999
6,California,2006,58866
6,California,2007,59832
6,California,2008,59893
6,California,2009,57105
6,California,2010,57714
6,California,2011,58265
6,California,2012,59440
6,California,2013,61179
6,California,2014,62941
6,California,2015,65442
6,California,2016,67018
6,California,2017,69667
6,California,2018,72291
6,California,2019,75299
6,California,2020,74188
6,California,2021,80498
6,California,2022,80614
6,California,2023,82228
8,Colorado,2000,55175
8,Colorado,2001,54828
8,Colorado,2002,54272
8,Colorado,2003,54324
8,Colorado,2004,54660
8,Colorado,2005,56563
8,Colorado,2006,56815
8,Colorado,2007,58023
8,Colorado,2008,57632
8,Colorado,2009,55440
8,Colorado,2010,55351
8,Colorado,2011,55441
8,Colorado,2012,55710
8,Colorado,2013,57199
8,Colorado,2014,58924
8,Colorado,2015,60599
8,Colorado,2016,60912
8,Colorado,2017,62343
8,Colorado,2018,64103
8,Colorado,2019,66637
8,Colorado,2020,65779
8,Colorado,2021,69914
8,Colorado,2022,72346
8,Colorado,2023,74899
9,Connecticut,2000,68549
9,Connecticut,2001,68846
9,Connecticut,2002,67743
9,Connecticut,2003,67938
9,Connecticut,2004,72275
9,Connecticut,2005,73626
9,Connecticut,2006,76612
9,Connecticut,2007,78952
9,Connecticut,2008,78349
9,Connecticut,2009,74549
9,Connecticut,2010,74535
9,Connecticut,2011,72885
9,Connecticut,2012,73334
9,Connecticut,2013,72004
