fips,state,year,beer_tax_per_gal,source_url,rate_as_of
1,Alabama,2000,0.53,https://web.archive.org/web/20000325063700/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2000"
1,Alabama,2001,0.53,https://web.archive.org/web/20010302215202/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2001"
1,Alabama,2002,0.53,https://web.archive.org/web/20021223201049/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2002"
1,Alabama,2003,0.53,https://web.archive.org/web/20030416141321/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2003"
1,Alabama,2004,0.53,https://web.archive.org/web/20040603161539/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2004"
1,Alabama,2005,0.53,https://web.archive.org/web/20051223093209/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2005"
1,Alabama,2006,0.53,https://web.archive.org/web/20060420121500/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2006"
1,Alabama,2007,0.53,https://web.archive.org/web/20070504194236/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2007"
1,Alabama,2008,0.53,https://web.archive.org/web/20081025160909/http://www.taxadmin.org/fta/rate/beer.html,"January 1, 2008"
1,Alabama,2010,0.53,https://web.archive.org/web/20101204030548/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2010"
1,Alabama,2013,0.53,https://web.archive.org/web/20131019064212/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2013"
1,Alabama,2014,0.53,https://web.archive.org/web/20140823201458/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2014"
1,Alabama,2015,0.53,https://web.archive.org/web/20150412002448/http://www.taxadmin.org/fta/rate/beer.pdf,"January 1, 2015"
1,Alabama,2016,0.53,https://web.archive.org/web/20160407141458/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2016"
1,Alabama,2017,0.53,https://web.archive.org/web/20171004061122/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2017"
1,Alabama,2020,0.53,https://web.archive.org/web/20201120035113/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2020"
1,Alabama,2021,0.53,https://web.archive.org/web/20210227010153/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2021"
1,Alabama,2022,0.53,https://web.archive.org/web/20220421124521/http://www.taxadmin.org/assets/docs/Research/Rates/beer.pdf,"January 1, 2022"
