Time,Level,Estimate,Std.Error,lower_bound,upper_bound,state
-18,Average,0.00482635504285034,0.0451216396667493,-0.0839118939276829,0.100071560855815,Average
-17,Average,0.000322899873774873,0.0198139108267867,-0.037168187308727,0.0393859883256458,Average
-16,Average,0.000193025879222319,0.0137507047222893,-0.0252219642713958,0.0278044197458772,Average
-15,Average,-0.00657788926842196,0.0207497199356083,-0.0449569438585154,0.0343183848583039,Average
-14,Average,-0.00440187244910615,0.0170522157576301,-0.0352137997156548,0.0302920931953418,Average
-13,Average,0.00757449043168283,0.0222694966301287,-0.0373198732101089,0.0497191168220037,Average
-12,Average,-0.00231082585506826,0.0134879306917516,-0.027473248836449,0.025087379595394,Average
-11,Average,-0.00156093778903981,0.00896436618741329,-0.0187275558177099,0.0154104693612664,Average
-10,Average,-0.002986404329573,0.0112679455733645,-0.0258044742510031,0.0161552430726964,Average
-9,Average,0.00811299284330103,0.0162579554409425,-0.0239715031111691,0.0398283864928735,Average
-8,Average,-0.00115199086674223,0.0140190396334597,-0.0286132127312945,0.0251278498531152,Average
-7,Average,0.000481514703787855,0.00929220642247071,-0.0185205706356174,0.0181764558481739,Average
-6,Average,0.00410923322993166,0.0102948825613007,-0.0167270494271761,0.0236627508429852,Average
-5,Average,-0.00213935796514486,0.0110679006233202,-0.024113565696137,0.017204509242771,Average
-4,Average,0.000661127801208061,0.0132302795270639,-0.026482359208958,0.0237151655681399,Average
-3,Average,-0.00523982213151242,0.0193235436477467,-0.0464922884877632,0.0277048375183991,Average
-2,Average,-0.00198380663806104,0.0210170002419274,-0.0445826028990753,0.0354810498775753,Average
-1,Average,0.00264548025705063,0.0228709172824052,-0.0425665433650946,0.045878466337423,Average
0,Average,0.0225204195968744,0.0355560884185128,-0.0424022793914235,0.0963421751389707,Average
1,Average,0.0298502243814328,0.0435325075162446,-0.0490996488252308,0.118457609381282,Average
2,Average,0.00635797265627218,0.0325162312423024,-0.0560003808681511,0.0706603075634237,Average
3,Average,0.00918729737596054,0.0350425274647285,-0.0583474229063736,0.0815458251956644,Average
4,Average,0.00656753349993848,0.0332157286477659,-0.0574871467390152,0.0747970077786302,Average
5,Average,-0.0143104296238756,0.0429312008628955,-0.100061078721333,0.0653862025530808,Average
,Average,0.0275659204188017,0.0419138934703777,-0.046146483180036,0.115628308315801,Average
-18,6,0.00142124790978015,0.0489257279183538,-0.0880854988831048,0.0933342617080803,California
-17,6,0.00728738103130078,0.0265341804043165,-0.0474052402521024,0.0528774302656124,California
-16,6,0.00140300746700106,0.0153177169640606,-0.0290865612106188,0.0313377904624617,California
-15,6,0.0015041651610479,0.0154218479198175,-0.0238746993196527,0.0331547635107786,California
-14,6,-0.00214504830735718,0.0269125391570874,-0.0556715614534909,0.0492844971922174,California
-13,6,-0.00503275484118504,0.0297729832009937,-0.0610162639004734,0.0522536246223797,California
-12,6,0.00678977385737822,0.0288809336382541,-0.0453754872630851,0.0645447024492272,California
-11,6,-0.00128699676027966,0.0137513600970455,-0.0257023403172028,0.0250774282872239,California
-10,6,-0.00077007959514086,0.0057868274029403,-0.0119725454921478,0.0105883093352,California
-9,6,0.00369365769539731,0.00580394301415056,-0.00754663154635004,0.0151040176222625,California
-8,6,-0.0232308431584071,0.0539060624787435,-0.111412892965829,0.0857728972026276,California
-7,6,0.00291394351886276,0.0269511439926614,-0.0416086587658191,0.057939686735125,California
-6,6,0.00771827434841177,0.0184785615606008,-0.0269763453910077,0.0436129887151759,California
-5,6,0.00124923482269435,0.0174530000449096,-0.0349208253385591,0.0350967692128684,California
-4,6,0.00263667657063227,0.0263116115555172,-0.0469897884591535,0.0552431270706777,California
-3,6,-0.0118064032265693,0.0415736668354078,-0.0886417278245473,0.0704879665011297,California
-2,6,0.00721994211721067,0.0313305353068395,-0.0562407242948442,0.0628326871582798,California
-1,6,0.000434821389222129,0.0363680238739948,-0.070981969827064,0.0621209993522815,California
0,6,0.0955437117340678,0.12712480918394,-0.140022579706705,0.34305499717867,California
1,6,0.112849916960332,0.148367458277512,-0.157080053366022,0.402668153024788,California
2,6,,,,,California
3,6,,,,,California
4,6,,,,,California
5,6,,,,,California
,6,0.1041968143472,0.137725964241053,-0.148442919165427,0.374381368221122,California
-18,8,,,,,Colorado
-17,8,,,,,Colorado
-16,8,,,,,Colorado
-15,8,,,,,Colorado
-14,8,-0.0137759275666924,0.0187809861510831,-0.0507846781253158,0.0214778451420176,Colorado
-13,8,0.0534781191831575,0.0978822479976766,-0.145848615655897,0.230433840176509,Colorado
-12,8,-0.000533601394172578,0.0137109797067037,-0.0285615924756302,0.0257640729774914,Colorado
-11,8,-0.0220515936441119,0.0316727718532923,-0.0863591410923779,0.0382962254640043,Colorado
-10,8,-0.00610625630118244,0.0134831307607207,-0.0350034803058092,0.0141421147324257,Colorado
-9,8,0.00260932791745994,0.0211262090729608,-0.0380103359919231,0.0348827806311912,Colorado
-8,8,0.000537677376843071,0.00621163945640897,-0.0123594818154831,0.0117751674613212,Colorado
-7,8,-0.00275394402359774,0.00661395884742345,-0.0173306304138965,0.00911327819419342,Colorado
-6,8,-0.00153082631733747,0.00845831929882686,-0.0171044969699773,0.0149427062101001,Colorado
-5,8,-0.0160759594134083,0.0317548249473302,-0.0719714144614693,0.0488168260420451,Colorado
-4,8,-0.00056850381864515,0.0183295860213311,-0.0272294020476962,0.0346156215430351,Colorado
-3,8,0.00455566474955216,0.0244660621779281,-0.0301520825429484,0.0542919137379032,Colorado
-2,8,-0.0074300748959133,0.0328297523053014,-0.0641785794599962,0.0570667884551084,Colorado
-1,8,0.00964589814804917,0.0160588253483797,-0.0204960771521318,0.0408669428168707,Colorado
0,8,0.00499265340559618,0.0240648535482552,-0.0365291934700202,0.0545052867379731,Colorado
1,8,-0.000175540387189033,0.0282824198231469,-0.0550589583717758,0.0550677790871912,Colorado
2,8,0.00479599751014659,0.0195779583164455,-0.0346543080767145,0.0433722317277327,Colorado
3,8,0.0259218682593234,0.0324135215983712,-0.0354238765557421,0.0929683172710563,Colorado
4,8,0.0361282804130991,0.0528213538309652,-0.0641103711189729,0.144097871818144,Colorado
5,8,-0.00708970006045129,0.0230320749691849,-0.0529573776182045,0.0373585659601343,Colorado
,8,0.0107622598567542,0.0199473785288756,-0.0271627048377373,0.0488298401475879,Colorado
-18,25,0.00823146217592052,0.0596884782004343,-0.109339000310586,0.122062459864738,Massachusetts
-17,25,-0.00664158128375103,0.0223743507621359,-0.0517778060912301,0.0368571327893287,Massachusetts
-16,25,-0.00101695570855642,0.0167782704914243,-0.0342191836484142,0.0330047418775567,Massachusetts
-15,25,0.00166905147322516,0.0136547064053142,-0.0200601454027661,0.0297242987217572,Massachusetts
-14,25,0.00498894213647749,0.0288127605831615,-0.0515787100944207,0.0573147913226971,Massachusetts
-13,25,-0.00558200599046521,0.0271395383733124,-0.0559317971858214,0.0460253583432384,Massachusetts
-12,25,0.00282572368179346,0.0247477880342463,-0.0404818184612058,0.0496681442769842,Massachusetts
-11,25,0.0133231279458284,0.0248620870750099,-0.0370672097530109,0.0633320701694277,Massachusetts
-10,25,-0.0120448758833813,0.0183005469884225,-0.0464367534412273,0.0252765940557789,Massachusetts
-9,25,-0.0192582675539139,0.0296520562268783,-0.074442013474345,0.043011806622735,Massachusetts
-8,25,-0.00184574140342897,0.0144114792076296,-0.0254641064009484,0.0288554539355727,Massachusetts
