estimator,delta,n_ok,reject_se,reject_ri,mean_att
callaway_santanna,0,200,0.1,0.05,0.000751653860653431
callaway_santanna,-0.02,200,0.33,0.26,-0.0194510534568661
callaway_santanna,-0.05,200,0.85,0.92,-0.0505416405268972
callaway_santanna,-0.08,200,0.995,1,-0.0826299550783976
callaway_santanna,-0.12,200,1,1,-0.127081717649231
gsynth_ife,0,200,0.035,0.05,-0.000719315118509303
gsynth_ife,-0.02,200,0.155,0.145,-0.0209220224360288
gsynth_ife,-0.05,200,0.63,0.71,-0.0520126095060599
gsynth_ife,-0.08,200,0.93,0.985,-0.0841009240575603
gsynth_ife,-0.12,200,0.98,0.995,-0.128552686628394
matrix_completion,0,200,0.12,0.05,0.000395285271741172
matrix_completion,-0.02,200,0.245,0.125,-0.0198074220457783
matrix_completion,-0.05,200,0.72,0.655,-0.0508980091158094
matrix_completion,-0.08,200,0.985,0.96,-0.0829863236673099
matrix_completion,-0.12,200,1,1,-0.127438086238144
multisynth,0,400,0,0.05,0.00363515216189125
multisynth,-0.02,400,0,0.105,-0.0165675551556282
multisynth,-0.05,400,0,0.6375,-0.0476581422256593
multisynth,-0.08,400,0,0.98,-0.0797464567771598
multisynth,-0.12,400,0,1,-0.124198219347994
multisynth_phased,-0.05,400,0,0.2975,-0.0319281986134772
sdid,0,200,0.08,0.05,0.00203630433376589
sdid,-0.02,200,0.205,0.175,-0.0181664029837536
sdid,-0.05,200,0.875,0.855,-0.0492569900537847
sdid,-0.08,200,1,1,-0.0813453046052851
sdid,-0.12,200,1,1,-0.125797067176119
