step,seconds
sample_rules,1.2
wa_chow,0
sample_rules_v2,15.8
multisynth_primary,1.9
sdid_primary,110.4
gsynth_ife_primary,14.7
gsynth_mc_primary,10.5
cs_did_primary,0.5
twfe_primary,0
state_scm_all,1.2
scpi_conformal,8.6
multisynth_primary_v2,1.9
intime_single,19.4
intime_pooled_2009,43.4
ri_pooled_null,15.3
robustness_variants,12.4
power_pilot,72.4
wa_beer_wine,1
power_multisynth_d0_n400,79.9
power_multisynth_d-2_n400,78
power_multisynth_d-5_n400,78.8
power_multisynth_d-8_n400,78.6
power_multisynth_d-12_n400,78.7
power_sdid_d-5_n200,474.7
power_sdid_d0_n200,501.7
power_gsynth_ife_d-5_n200,84.9
power_gsynth_ife_d0_n200,84.8
power_matrix_completion_d-5_n200,55.3
power_matrix_completion_d0_n200,60.3
power_callaway_santanna_d-5_n200,17.8
power_callaway_santanna_d0_n200,16.5
intime_pooled_2007,44.5
power_sdid_d-2_n200,507.2
power_sdid_d-8_n200,514.1
power_sdid_d-12_n200,467.2
power_gsynth_ife_d-2_n200,88
power_gsynth_ife_d-8_n200,91.6
power_gsynth_ife_d-12_n200,76.8
power_matrix_completion_d-2_n200,52.3
power_matrix_completion_d-8_n200,52.1
power_matrix_completion_d-12_n200,52.1
power_callaway_santanna_d-2_n200,14.9
power_callaway_santanna_d-8_n200,14.8
power_callaway_santanna_d-12_n200,14.8
power_multisynth_phased_d-5_n400,76.9
robustness_variants_v2,10.9
TOTAL_cached_steps,4098.8
